title,artist,file_url,mood,bpm,platform_tiktok,platform_youtube,platform_instagram,license_expires_at
Siesta Suave,Lo-Fi Mexico,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Rooftop_Siesta.mp3,sleepy,75,true,true,true,
Gatito Juguetón,Tropical Beats MX,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Sunbeam_Serenade.mp3,playful,118,true,true,false,
Curiosidad Felina,Ambient MX,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Azotea_Sombra.mp3,curious,95,false,true,true,
Tarde de Sol,Bossa Nova Cat,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Solstice_Serenade.mp3,playful,112,true,true,true,
Sueño Profundo,Chill Lounge,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Lunar_Driftwood.mp3,sleepy,72,true,false,true,
Explorador Naranja,Funk Gato,hhttps://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Midnight_Alley_Strut.mp3,curious,98,true,true,true,
Fiesta Felina,Latin Pop,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Gato_Loco_Fiesta.mp3,playful,122,true,true,true,
Meditación de Gato,Zen Beats,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Rainfall_Drone.mp3,sleepy,78,false,true,false,
La Gran Aventura,Mariachi Moderno,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/El_Corazon_del_Valiente.mp3,playful,115,true,true,true,
Noche Tranquila,Ambient Nocturno,https://gjgtypyvsamjzfoelwei.supabase.co/storage/v1/object/public/content_music/Nocturne_de_Agave.mp3,sleepy,70,true,true,true,
